Return_ID,Order_ID,Sales_ID,Customer_ID,Product_ID,Return_Date,Return_Reason,Refund_Amount,Refund_Status
RET_8029,ORD_10839,SALE_50839,CUST_2254,PROD_1026,31-01-2025,Quality not as expected,4351.46,processed
RET_8030,ORD_12025,SALE_52025,CUST_2099,PROD_1026,05-08-2024,SIZE ISSUE - TOO SMALL,5119.36,Processed
RET_8031,ORD_10275,SALE_50275,CUST_2075,PROD_1024,13-06-2024,Wrong item delivered,2322.84,Processed
RET_8032,ORD_11977,SALE_51977,CUST_2108,PROD_1024,06-02-2024,Changed mind / Late delivery,1576.21,Processed
RET_8033,ORD_11914,SALE_51914,CUST_2299,PROD_1006,24-03-2024,Size issue - Too large,2909.76,Processed
RET_8034,ORD_10763,SALE_50763,CUST_2022,PROD_1004,26-09-2024,Quality not as expected,10437.39,Processed
RET_8035,ORD_10896,SALE_50896,CUST_2173,PROD_1015,28-02-2024,,874.95,Processed
RET_8036,ORD_11461,SALE_51461,CUST_2165,PROD_1010,09-12-2024,Quality not as expected,348.4,Rejected
RET_8037,ORD_10373,SALE_50373,CUST_2290,PROD_1026,06-01-2024,Quality not as expected,4863.39,Processed
RET_8038,ORD_11529,SALE_51529,CUST_2012,PROD_1010,23-05-2024,  Changed mind / Late delivery   ,947.2,Rejected
RET_8039,ORD_10029,SALE_50029,CUST_2243,PROD_1019,22-05-2024,Changed mind / Late delivery,1339.33,Processed
RET_8040,ORD_10845,SALE_50845,CUST_2118,PROD_1004,13-04-2024,Color/Design mismatch,3479.13,Processed
RET_8041,ORD_11120,SALE_51120,CUST_2021,PROD_1029,16-01-2024,Color/Design mismatch,798.5,Processed
RET_8042,ORD_11784,SALE_51784,CUST_2032,PROD_1022,12-01-2024,Size issue - Too small,3572.25,Processed
RET_8043,ORD_11532,SALE_51532,CUST_2139,PROD_1001,30-12-2024,Size issue - Too large,4815.4,Approved
RET_8044,ORD_10452,SALE_50452,CUST_2022,PROD_1027,23-10-2024,Wrong item delivered,4979.38,Processed
RET_8045,ORD_11766,SALE_51766,CUST_2026,PROD_1001,25-11-2024,wrong item delivered,5847.27,Processed
RET_8046,ORD_10555,SALE_50555,CUST_2196,PROD_1003,02-07-2025,,552.37,Pending
RET_8047,ORD_10797,SALE_50797,CUST_2238,PROD_1028,12-08-2024,Wrong item delivered,1078.17,pending
RET_8048,ORD_10558,SALE_50558,CUST_2050,PROD_1027,27-07-2024,CHANGED MIND / LATE DELIVERY,5643.29,Processed
RET_8049,ORD_11357,SALE_51357,CUST_2021,PROD_1013,14-08-2024,Color/Design mismatch,736.14,
RET_8050,ORD_11364,SALE_51364,CUST_2051,PROD_1019,19-12-2024,Changed mind / Late delivery,1138.43,Processed
RET_8051,ORD_11205,SALE_51205,CUST_2120,PROD_1025,02-04-2025,Size issue - Too large,3273.48,Rejected
RET_8052,ORD_10607,SALE_50607,CUST_2194,PROD_1017,30-10-2024,Wrong item delivered,4348.26,Rejected
RET_8053,ORD_12056,SALE_52056,CUST_2271,PROD_1017,06-09-2024,SIZE ISSUE - TOO LARGE,2065.42,Approved
RET_8054,ORD_10686,SALE_50686,CUST_2266,PROD_1012,24-11-2024,size issue - too small,724.48,Processed
RET_8055,ORD_10431,SALE_50431,CUST_2097,PROD_1003,08-04-2024,Item defective/damaged,552.37,Rejected
RET_8056,ORD_11774,SALE_51774,CUST_2243,PROD_1016,01-09-2025,QUALITY NOT AS EXPECTED,1551.98,Rejected
RET_8057,ORD_10087,SALE_50087,CUST_2231,PROD_1015,16-09-2024,Wrong item delivered,918.42,  Pending   
RET_8058,ORD_10635,SALE_50635,CUST_2086,PROD_1001,18-12-2024,Size issue - Too large,27516.56,Processed
RET_8059,ORD_10036,SALE_50036,CUST_2173,PROD_1009,01-06-2025,Color/Design mismatch,3159.37,  Processed   
RET_8060,ORD_11106,SALE_51106,CUST_2042,PROD_1014,23-11-2024,  Changed mind / Late delivery   ,2854.57,Approved
RET_8061,ORD_11755,SALE_51755,CUST_2261,PROD_1028,16-10-2024,Size issue - Too large,1078.17,Processed
RET_8062,ORD_10815,SALE_50815,CUST_2194,PROD_1008,01-09-2025,Color/Design mismatch,2919.27,Processed
RET_8063,ORD_11827,SALE_51827,CUST_2099,PROD_1025,11-05-2024,Changed mind / Late delivery,1636.74,Pending
RET_8064,ORD_11048,SALE_51048,CUST_2090,PROD_1024,02-04-2024,Changed mind / Late delivery,1659.17,Processed
RET_8065,ORD_10785,SALE_50785,CUST_2294,PROD_1016,21-07-2024,Size issue - Too small,7242.59,  Processed   
RET_8066,ORD_10039,SALE_50039,CUST_2019,PROD_1019,09-01-2025,Item defective/damaged,1138.43,Processed
RET_8067,ORD_11578,SALE_51578,CUST_2203,PROD_1001,24-07-2024,Size issue - Too small,6535.18,Processed
RET_8068,ORD_10853,SALE_50853,CUST_2062,PROD_1002,23-08-2024,  Size issue - Too large   ,1019.32,Approved
RET_8069,ORD_11168,SALE_51168,CUST_2131,PROD_1018,11-05-2024,Changed mind / Late delivery,4939.38,Processed
RET_8070,ORD_11563,SALE_51563,CUST_2080,PROD_1027,13-01-2024,Item defective/damaged,9294.84,Processed
RET_8071,ORD_10570,SALE_50570,CUST_2185,PROD_1023,06-06-2024,Size issue - Too large,1025.32,Pending
RET_8072,ORD_10740,SALE_50740,CUST_2126,PROD_1014,26-10-2024,,3806.1,Processed
RET_8073,ORD_10699,SALE_50699,CUST_2294,PROD_1028,02-12-2024,Changed mind / Late delivery,965.44,Processed
RET_8074,ORD_10454,SALE_50454,CUST_2148,PROD_1014,23-01-2024,Size issue - Too large,2126.94,Processed
RET_8075,ORD_10469,SALE_50469,CUST_2241,PROD_1004,16-12-2024,Wrong item delivered,6958.26,Processed
RET_8076,ORD_10816,SALE_50816,CUST_2251,PROD_1004,27-05-2024,Item defective/damaged,3305.17,processed
RET_8077,ORD_11814,SALE_51814,CUST_2234,PROD_1003,15-07-2024,size issue - too small,552.37,Processed
RET_8078,ORD_10557,SALE_50557,CUST_2252,PROD_1026,11-10-2024,Quality not as expected,4095.49,Processed
RET_8079,ORD_12195,SALE_52195,CUST_2116,PROD_1004,,Wrong item delivered,6958.26,
RET_8080,ORD_11380,SALE_51380,CUST_2111,PROD_1005,16-11-2024,Size issue - Too small,937.22,Processed
RET_8081,ORD_10971,SALE_50971,CUST_2291,PROD_1026,31-05-2024,SIZE ISSUE - TOO SMALL,3839.52,Processed
RET_8082,ORD_10149,SALE_50149,CUST_2176,PROD_1030,19-07-2024,Item defective/damaged,2429.39,Processed
RET_8083,ORD_12116,SALE_52116,CUST_2010,PROD_1005,17-12-2024,Quality not as expected,493.11,Approved
RET_8084,ORD_11650,SALE_51650,CUST_2212,PROD_1024,14-02-2024,Quality not as expected,1659.17,Processed
RET_8085,ORD_10679,SALE_50679,CUST_2126,PROD_1030,10-06-2024,,4858.78,Processed
RET_8086,ORD_12129,SALE_52129,CUST_2125,PROD_1030,02-03-2024,Color/Design mismatch,2429.39,Processed
RET_8087,ORD_10042,SALE_50042,CUST_2094,PROD_1022,07-04-2024,,1357.45,Processed
RET_8088,ORD_11230,SALE_51230,CUST_2021,PROD_1003,01-07-2025,Changed mind / Late delivery,1006.74,Processed
RET_8089,ORD_11778,SALE_51778,CUST_2054,PROD_1010,27-01-2024,  Size issue - Too large   ,348.4,Processed
RET_8090,ORD_11299,SALE_51299,CUST_2078,PROD_1019,16-08-2024,Wrong item delivered,1138.43,Processed
RET_8091,ORD_11070,SALE_51070,CUST_2040,PROD_1002,,Size issue - Too small,1019.32,Processed
RET_8092,ORD_10764,SALE_50764,CUST_2243,PROD_1025,18-12-2024,Size issue - Too large,2864.3,Processed
RET_8093,ORD_11387,SALE_51387,CUST_2255,PROD_1019,22-08-2024,,1138.43,Processed
RET_8094,ORD_10493,SALE_50493,CUST_2181,PROD_1025,02-01-2024,Quality not as expected,1636.74,Processed
RET_8095,ORD_12185,SALE_52185,CUST_2138,PROD_1024,13-07-2024,Quality not as expected,1327.34,Processed
RET_8096,ORD_10332,SALE_50332,CUST_2088,PROD_1010,25-09-2024,Size issue - Too small,348.4,processed
RET_8097,ORD_10323,SALE_50323,CUST_2140,PROD_1005,24-11-2024,  Color/Design mismatch   ,493.11,Processed
RET_8098,ORD_11427,SALE_51427,CUST_2058,PROD_1008,25-12-2024,color/design mismatch,2481.38,Processed
RET_8099,ORD_11943,SALE_51943,CUST_2147,PROD_1013,15-07-2024,Size issue - Too large,1374.28,Processed
RET_8100,ORD_10788,SALE_50788,CUST_2281,PROD_1013,07-01-2024,Size issue - Too large,701.78,PROCESSED
RET_8101,ORD_11594,SALE_51594,CUST_2282,PROD_1019,19-04-2024,WRONG ITEM DELIVERED,1339.33,Pending
RET_8102,ORD_11560,SALE_51560,CUST_2228,PROD_1003,25-10-2024,Item defective/damaged,1006.74,PROCESSED
RET_8103,ORD_10833,SALE_50833,CUST_2180,PROD_1029,03-02-2024,Quality not as expected,798.5,
RET_8104,ORD_10077,SALE_50077,CUST_2143,PROD_1002,08-04-2024,Color/Design mismatch,1199.2,Processed
RET_8105,ORD_11820,SALE_51820,CUST_2113,PROD_1011,12-03-2024,Wrong item delivered,4273.29,Processed
RET_8106,ORD_10091,SALE_50091,CUST_2176,PROD_1010,30-12-2024,Size issue - Too large,348.4,Processed
RET_8107,ORD_10295,SALE_50295,CUST_2255,PROD_1028,09-12-2024,WRONG ITEM DELIVERED,1078.17,Pending
RET_8108,ORD_10921,SALE_50921,CUST_2237,PROD_1022,10-07-2024,,763.45,Processed
RET_8109,ORD_11088,SALE_51088,CUST_2019,PROD_1012,02-09-2024,WRONG ITEM DELIVERED,1519.83,Processed
RET_8110,ORD_11887,SALE_51887,CUST_2244,PROD_1024,13-08-2024,Size issue - Too large,3318.34,
RET_8111,ORD_11419,SALE_51419,CUST_2206,PROD_1002,12-12-2024,Size issue - Too small,2698.2,Processed
RET_8112,ORD_11780,SALE_51780,CUST_2118,PROD_1024,04-08-2024,Item defective/damaged,1327.34,Pending
RET_8113,ORD_11647,SALE_51647,CUST_2126,PROD_1008,24-06-2024,Color/Design mismatch,2043.49,Pending
RET_8114,ORD_12109,SALE_52109,CUST_2281,PROD_1008,20-09-2024,Item defective/damaged,2335.42,Processed
RET_8115,ORD_11901,SALE_51901,CUST_2156,PROD_1010,25-07-2024,Changed mind / Late delivery,348.4,Approved
RET_8116,ORD_11855,SALE_51855,CUST_2008,PROD_1012,22-02-2024,Size issue - Too small,1350.96,Processed
RET_8117,ORD_11791,SALE_51791,CUST_2269,PROD_1029,16-01-2024,Size issue - Too large,798.5,Processed
RET_8118,ORD_11231,SALE_51231,CUST_2052,PROD_1013,12-02-2024,Color/Design mismatch,736.14,
RET_8119,ORD_11659,SALE_51659,CUST_2252,PROD_1004,10-02-2024,,5566.61,Processed
RET_8120,ORD_10941,SALE_50941,CUST_2279,PROD_1004,25-01-2024,Color/Design mismatch,2609.35,Processed
RET_8121,ORD_10103,SALE_50103,CUST_2143,PROD_1018,19-05-2024,,4419.45,Processed
RET_8122,ORD_11151,SALE_51151,CUST_2296,PROD_1001,,Size issue - Too small,4815.4,Processed
RET_8123,ORD_10604,SALE_50604,CUST_2191,PROD_1009,,  Color/Design mismatch   ,9478.1,Approved
RET_8124,ORD_11061,SALE_51061,CUST_2174,PROD_1014,08-02-2024,WRONG ITEM DELIVERED,1119.44,
RET_8125,ORD_11566,SALE_51566,CUST_2068,PROD_1024,07-12-2024,Changed mind / Late delivery,1659.17,PROCESSED
RET_8126,ORD_12007,SALE_52007,CUST_2163,PROD_1021,17-01-2024,Color/Design mismatch,775.27,Processed
RET_8127,ORD_11551,SALE_51551,CUST_2152,PROD_1004,16-05-2024,wrong item delivered,13220.69,Processed
RET_8128,ORD_11668,SALE_51668,CUST_2177,PROD_1003,16-09-2024,Size issue - Too small,552.37,Processed
RET_8129,ORD_11233,SALE_51233,CUST_2099,PROD_1019,05-12-2024,Item defective/damaged,2009,Processed
RET_8130,ORD_11071,SALE_51071,CUST_2126,PROD_1010,03-07-2024,Color/Design mismatch,348.4,Processed
RET_8131,ORD_10617,SALE_50617,CUST_2159,PROD_1019,01-06-2025,,1339.33,Processed
RET_8132,ORD_11637,SALE_51637,CUST_2168,PROD_1010,19-08-2024,Size issue - Too large,348.4,Processed
RET_8133,ORD_10227,SALE_50227,CUST_2141,PROD_1028,10-06-2024,Size issue - Too large,1078.17,Processed
RET_8134,ORD_12113,SALE_52113,CUST_2290,PROD_1006,21-06-2024,,958.3,Processed
RET_8135,ORD_10403,SALE_50403,CUST_2233,PROD_1002,04-09-2024,Wrong item delivered,2398.4,Processed
RET_8136,ORD_10564,SALE_50564,CUST_2238,PROD_1022,11-02-2024,Item defective/damaged,1428.9,Processed
RET_8137,ORD_12050,SALE_52050,CUST_2264,PROD_1003,06-05-2024,Size issue - Too large,1510.11,processed
RET_8138,ORD_11636,SALE_51636,CUST_2267,PROD_1012,14-11-2024,,724.48,Processed
RET_8139,ORD_10160,SALE_50160,CUST_2285,PROD_1016,30-12-2024,CHANGED MIND / LATE DELIVERY,3103.97,Processed
RET_8140,ORD_10835,SALE_50835,CUST_2129,PROD_1008,13-08-2024,Quality not as expected,2335.42,Processed
RET_8141,ORD_10347,SALE_50347,CUST_2037,PROD_1021,12-12-2024,Changed mind / Late delivery,2905.06,Processed
RET_8142,ORD_10803,SALE_50803,CUST_2003,PROD_1018,28-10-2024,Quality not as expected,5199.35,processed
RET_8143,ORD_11629,SALE_51629,CUST_2111,PROD_1014,11-04-2024,Color/Design mismatch,1000.52,Processed
RET_8144,ORD_10560,SALE_50560,CUST_2021,PROD_1017,22-12-2024,Item defective/damaged,6196.27,
RET_8145,ORD_10957,SALE_50957,CUST_2040,PROD_1007,26-11-2024,  Changed mind / Late delivery   ,4590.85,Approved
RET_8146,ORD_10255,SALE_50255,CUST_2070,PROD_1016,25-10-2024,Wrong item delivered,2069.31,Processed
RET_8147,ORD_11786,SALE_51786,CUST_2132,PROD_1019,29-04-2024,Changed mind / Late delivery,2678.66,Processed
RET_8148,ORD_11868,SALE_51868,CUST_2253,PROD_1013,17-08-2024,Quality not as expected,736.14,PROCESSED
RET_8149,ORD_11294,SALE_51294,CUST_2192,PROD_1001,18-10-2024,Changed mind / Late delivery,9630.8,
RET_8150,ORD_10658,SALE_50658,CUST_2044,PROD_1002,27-12-2024,Item defective/damaged,2398.4,Processed
RET_8151,ORD_10368,SALE_50368,CUST_2051,PROD_1009,17-12-2024,,5528.89,Processed
RET_8152,ORD_10213,SALE_50213,CUST_2053,PROD_1010,01-11-2024,Color/Design mismatch,348.4,PROCESSED
RET_8153,ORD_11421,SALE_51421,CUST_2006,PROD_1014,17-04-2024,Changed mind / Late delivery,1119.44,PROCESSED
RET_8154,ORD_11446,SALE_51446,CUST_2232,PROD_1010,05-01-2024,,348.4,  Processed   
RET_8155,ORD_11488,SALE_51488,CUST_2282,PROD_1009,14-09-2024,,2764.45,Processed
RET_8156,ORD_10569,SALE_50569,CUST_2236,PROD_1023,14-09-2024,Size issue - Too large,1025.32,Processed
RET_8157,ORD_11495,SALE_51495,CUST_2066,PROD_1011,05-06-2024,Wrong item delivered,1899.24,
RET_8158,ORD_11574,SALE_51574,CUST_2097,PROD_1022,04-08-2024,Wrong item delivered,763.45,Pending
RET_8159,ORD_12138,SALE_52138,CUST_2158,PROD_1011,27-01-2024,Quality not as expected,1899.24,Approved
RET_8160,ORD_10097,SALE_50097,CUST_2152,PROD_1007,25-08-2024,,3279.18,Processed
RET_8161,ORD_10140,SALE_50140,CUST_2188,PROD_1019,27-04-2024,  Size issue - Too small   ,1339.33,Rejected
RET_8162,ORD_10363,SALE_50363,CUST_2296,PROD_1024,30-01-2025,Size issue - Too large,1659.17,
RET_8163,ORD_11577,SALE_51577,CUST_2186,PROD_1008,13-08-2024,,4086.98,Approved
RET_8164,ORD_10475,SALE_50475,CUST_2055,PROD_1006,22-09-2024,Color/Design mismatch,958.3,Processed
RET_8165,ORD_10315,SALE_50315,CUST_2158,PROD_1023,08-09-2024,item defective/damaged,1025.32,Processed
RET_8166,ORD_10987,SALE_50987,CUST_2106,PROD_1023,15-01-2024,Item defective/damaged,1079.28,Processed
RET_8167,ORD_11247,SALE_51247,CUST_2163,PROD_1017,29-07-2024,Changed mind / Late delivery,3043.78,
RET_8168,ORD_11181,SALE_51181,CUST_2023,PROD_1023,21-10-2024,Size issue - Too large,1726.85,Processed
RET_8169,ORD_12126,SALE_52126,CUST_2179,PROD_1005,15-11-2024,Item defective/damaged,1776.44,Processed
RET_8170,ORD_10068,SALE_50068,CUST_2048,PROD_1012,29-07-2024,  Color/Design mismatch   ,724.48,
RET_8171,ORD_11732,SALE_51732,CUST_2050,PROD_1013,,Wrong item delivered,1168.14,Processed
RET_8172,ORD_10100,SALE_50100,CUST_2028,PROD_1001,02-05-2025,changed mind / late delivery,11694.54,Processed
RET_8173,ORD_10286,SALE_50286,CUST_2147,PROD_1015,02-04-2024,Size issue - Too small,918.42,Processed
RET_8174,ORD_10911,SALE_50911,CUST_2175,PROD_1015,18-11-2024,Size issue - Too large,918.42,Processed
RET_8175,ORD_10566,SALE_50566,CUST_2214,PROD_1029,29-08-2024,Item defective/damaged,798.5,approved
RET_8176,ORD_11938,SALE_51938,CUST_2176,PROD_1022,,Quality not as expected,1428.9,  Processed   
RET_8177,ORD_12192,SALE_52192,CUST_2137,PROD_1006,15-12-2024,  Size issue - Too large   ,958.3,Processed
RET_8178,ORD_11149,SALE_51149,CUST_2209,PROD_1018,10-07-2024,Wrong item delivered,4159.48,Processed
RET_8179,ORD_10158,SALE_50158,CUST_2130,PROD_1009,18-11-2024,,13822.24,Processed
RET_8180,ORD_10326,SALE_50326,CUST_2026,PROD_1004,04-09-2024,,10437.39,Processed
RET_8181,ORD_10410,SALE_50410,CUST_2152,PROD_1020,27-10-2024,Size issue - Too small,1406.24,Processed
RET_8182,ORD_11040,SALE_51040,CUST_2018,PROD_1021,07-07-2024,  Quality not as expected   ,813.49,Processed
RET_8183,ORD_11210,SALE_51210,CUST_2126,PROD_1005,28-03-2024,WRONG ITEM DELIVERED,493.11,Processed
RET_8184,ORD_11822,SALE_51822,CUST_2209,PROD_1029,24-10-2024,Size issue - Too large,798.5,Processed
RET_8185,ORD_10534,SALE_50534,CUST_2233,PROD_1027,19-04-2024,Quality not as expected,19917.51,Processed
RET_8186,ORD_10708,SALE_50708,CUST_2234,PROD_1012,04-01-2024,Size issue - Too large,724.48,Processed
RET_8187,ORD_10463,SALE_50463,CUST_2258,PROD_1008,30-09-2024,,4378.91,Pending
RET_8188,ORD_10698,SALE_50698,CUST_2167,PROD_1019,,Wrong item delivered,1339.33,Processed
RET_8189,ORD_11361,SALE_51361,CUST_2215,PROD_1022,23-02-2024,changed mind / late delivery,763.45,
RET_8190,ORD_10822,SALE_50822,CUST_2118,PROD_1010,15-06-2024,Color/Design mismatch,348.4,Processed
RET_8191,ORD_12104,SALE_52104,CUST_2243,PROD_1007,02-04-2025,Color/Design mismatch,2459.39,Processed
RET_8192,ORD_11122,SALE_51122,CUST_2062,PROD_1015,,Size issue - Too small,1738.84,
RET_8193,ORD_10476,SALE_50476,CUST_2161,PROD_1004,02-03-2025,Wrong item delivered,5218.69,Processed
RET_8194,ORD_10510,SALE_50510,CUST_2121,PROD_1013,15-05-2024,Wrong item delivered,736.14,Processed
RET_8195,ORD_10089,SALE_50089,CUST_2089,PROD_1024,11-11-2024,,4977.51,Pending
RET_8196,ORD_11221,SALE_51221,CUST_2028,PROD_1010,11-07-2024,Size issue - Too small,348.4,Processed
RET_8197,ORD_10317,SALE_50317,CUST_2020,PROD_1025,09-11-2024,Wrong item delivered,867.37,Processed
RET_8198,ORD_10184,SALE_50184,CUST_2133,PROD_1006,13-11-2024,,958.3,Approved
RET_8199,ORD_11586,SALE_51586,CUST_2138,PROD_1030,17-06-2024,Changed mind / Late delivery,7288.18,
RET_8200,ORD_11054,SALE_51054,CUST_2175,PROD_1006,13-09-2024,SIZE ISSUE - TOO LARGE,1727.67,Approved
RET_8201,ORD_11993,SALE_51993,CUST_2283,PROD_1021,22-12-2024,Wrong item delivered,813.49,Processed
RET_8202,ORD_11603,SALE_51603,CUST_2085,PROD_1029,05-11-2024,,798.5,Approved
RET_8203,ORD_11216,SALE_51216,CUST_2118,PROD_1005,13-08-2024,Color/Design mismatch,493.11,Processed
RET_8204,ORD_11304,SALE_51304,CUST_2250,PROD_1026,21-09-2024,Item defective/damaged,5119.36,processed
RET_8205,ORD_10912,SALE_50912,CUST_2199,PROD_1008,26-03-2024,Size issue - Too small,2189.45,Processed
RET_8206,ORD_11243,SALE_51243,CUST_2290,PROD_1014,18-09-2024,,1119.44,Pending
RET_8207,ORD_10538,SALE_50538,CUST_2006,PROD_1016,25-04-2024,Size issue - Too small,3931.69,  Processed   
RET_8208,ORD_10995,SALE_50995,CUST_2051,PROD_1002,19-04-2024,Quality not as expected,1139.24,Approved
RET_8209,ORD_11095,SALE_51095,CUST_2219,PROD_1029,07-11-2024,Color/Design mismatch,2998,Processed
RET_8210,ORD_11794,SALE_51794,CUST_2062,PROD_1024,23-12-2024,Changed mind / Late delivery,1659.17,Processed
RET_8211,ORD_10898,SALE_50898,CUST_2233,PROD_1018,01-02-2025,Size issue - Too large,3899.51,Processed
RET_8212,ORD_10248,SALE_50248,CUST_2296,PROD_1027,30-01-2024,Size issue - Too large,4979.38,Processed
RET_8213,ORD_11491,SALE_51491,CUST_2158,PROD_1021,17-11-2024,Size issue - Too small,775.27,Processed
RET_8214,ORD_11187,SALE_51187,CUST_2207,PROD_1014,04-12-2024,Item defective/damaged,1063.47,Processed
RET_8215,ORD_11806,SALE_51806,CUST_2249,PROD_1014,17-11-2024,Size issue - Too large,5317.34,Processed
RET_8216,ORD_10960,SALE_50960,CUST_2063,PROD_1007,,Size issue - Too large,2459.39,Processed
RET_8217,ORD_11558,SALE_51558,CUST_2173,PROD_1008,14-10-2024,Item defective/damaged,2919.27,Processed
RET_8218,ORD_12172,SALE_52172,CUST_2202,PROD_1012,02-11-2025,Size issue - Too small,724.48,Processed
RET_8219,ORD_11402,SALE_51402,CUST_2091,PROD_1017,10-05-2024,Wrong item delivered,4348.26,  Approved   
RET_8220,ORD_11547,SALE_51547,CUST_2268,PROD_1022,27-01-2025,  Item defective/damaged   ,763.45,Approved
RET_8221,ORD_11815,SALE_51815,CUST_2292,PROD_1008,13-01-2024,Color/Design mismatch,6568.36,Approved
RET_8222,ORD_10571,SALE_50571,CUST_2008,PROD_1007,18-01-2024,Changed mind / Late delivery,3115.22,Processed
RET_8223,ORD_11958,SALE_51958,CUST_2052,PROD_1015,08-11-2024,Changed mind / Late delivery,918.42,Pending
RET_8224,ORD_11156,SALE_51156,CUST_2288,PROD_1026,12-04-2024,Wrong item delivered,3583.55,Processed
RET_8225,ORD_11005,SALE_51005,CUST_2149,PROD_1027,22-03-2024,Wrong item delivered,4979.38,Processed
RET_8226,ORD_10828,SALE_50828,CUST_2269,PROD_1029,03-11-2024,,798.5,Approved
RET_8227,ORD_10442,SALE_50442,CUST_2072,PROD_1022,16-11-2024,  Size issue - Too large   ,763.45,Processed
RET_8228,ORD_10672,SALE_50672,CUST_2193,PROD_1007,17-02-2024,Changed mind / Late delivery,3279.18,Processed
RET_8229,ORD_11029,SALE_51029,CUST_2028,PROD_1003,09-11-2024,Size issue - Too large,1005.4,Processed
RET_8230,ORD_11471,SALE_51471,CUST_2037,PROD_1005,23-06-2024,Item defective/damaged,493.11,Processed
RET_8231,ORD_11433,SALE_51433,CUST_2083,PROD_1005,02-07-2024,Size issue - Too small,493.11,Processed
RET_8232,ORD_10873,SALE_50873,CUST_2270,PROD_1005,21-07-2024,color/design mismatch,493.11,Processed
RET_8233,ORD_10584,SALE_50584,CUST_2108,PROD_1018,07-03-2024,Size issue - Too small,4159.48,Processed
RET_8234,ORD_11923,SALE_51923,CUST_2168,PROD_1005,21-03-2024,Size issue - Too large,937.22,Processed
RET_8235,ORD_10936,SALE_50936,CUST_2258,PROD_1027,25-08-2024,Item defective/damaged,6307.21,Processed
RET_8236,ORD_10647,SALE_50647,CUST_2088,PROD_1018,22-12-2024,Size issue - Too small,4939.38,  Processed   
RET_8237,ORD_11903,SALE_51903,CUST_2150,PROD_1021,14-07-2024,Changed mind / Late delivery,3631.33,PROCESSED
